"questions","type"
"год в обласный быть операция рча медленный путь ава соединение посол выписка самочувствие быть в норма средний давление удам от давление выписывать пить канкор и амприлан х ежедневно в посление месяц давление утро вечер ритм становиться маленький удамина и боль в грудной клетка при то же давление   этот лекарство влиять на спад ритм и что сделать в случай снижение ритм","C"
"любовь евгеньевна как всегдаспасибо за ответвесь передавать мама сегодня только третий  применение пульмикорт быть неделя написать о результат   а быть ли какойто более безопасный заменитель конкор не угнетать дыхание заранее спасибо светлана","C"
"давление с год подниматься до в основной на нервный почва далеко высокий сейчас бывать но в основной обращаться к врач с давление выписывать укол магнезий мл папаверинамл вмыш  и пирацет ввенный день по мл таблетка нифекард т рд эдарби мг валериан и валокардин сегодня на прием давление хотеть дом до прием быть добавлять мочегонное фуросемид по т через день и верошпирон по т рдень  что направлять на стационар прийти домой успокаиваться вроде бы быть эффект от лечение почему же на прием такой скачок сидеть в очередь в поликлиника я чувствовать что начинать нервничать и ощущаться прилив кровь к голова я принимать гормональный препарат новинет сказать  как стабилизировать давление","Other"
"бабушка год вес кг в течение два год принимать кардиомагнил с перерыв посол перелом шейка бедро врач травматолог прописывать препарат ксарелтый тк она приковывать к постель теперь как правильно начинать принимать препарат ксарелтыйможно ли сразу начинать ксарелтый посол то как заканчиваться курс препарат кардиомагнил","Other"
"у мой мама в возраст лет случаться трансмуральный инфаркт миокард с аневризма февраль год не пить ни курить замучивать кашель очень сильный и громкий в основной в положение лежать или сидеть когда стоять или ходить кашель нет как вы считать мочь ли этот быть связанный с прием препарат или по какой либо другой причина вот список лекарство карведилол престариум верошпирон кардиомагнил лопирель аторис кораксана очень переживать за она не мочь спокойно спать не просить ставить прогноз как я писать модератор а простой интересоваться возможный ли он от прием лекарственный средство благодарить","C"
"в декабрь прошлый год у я подниматься давление я пойти в больница и я сделать экг экг показывать что у я левожелудочковый эсистолия врач прописывать диротон мг и кардиомагнил весь один раз в сутки утро и вечер я снижать доза до мг давление падать потом появляться кашель поменять на ramilich мг но принимать по мг с пол месяц нормальный потом опять кашель давление посол прием чувствовать себя разбитый весь болеть что я делать продолжать принимать этот лекарство или быть другой с меншими побочный действие","Other"
"можно ли пить мельдоний человек со здоровый сердце не становиться ли плохой заниматься футбол и работать хотеть улучшать спортивный результат и снимать очень сильный ежедневный усталость подсказывать","C"
"антон владимирович я год вот уже два год беспокоить тот что я не мочь нормальный сделать вдох задыхаться последний два месяц беспокоить головной боль казаться что голова тяжелый иногда печь голова боль в затылок в область лоб по весь голова держаться температура вчера сделать экг сделать два раз первый раз показывать потом сегодня быть у терапевт направлять сделать узи сердце выписывать дигоксин  пить по таблетка мочь ли я задыхаться из за проблема с сердце опасный ли этот беспокоиться боль в грудь не возникать сердце никогда не беспокоить","C"
"мама год поставлять кардиостимулятор месяц назад прописывать таблеткабисопролол мг утро периндоприл мг утро на ночь бисопролол мг тромбо асс табла у она низкий давление п д п д п подсказывать  зачем принимать таблетка который понижать давление если оно и так низкий спасибо большой за ответ","C"
"антон владимирович я год если позволять задавать сразу два вопрос посол перенести инфаркт и установка три стент один с лекарственный покрытие на  исполняться год как принимать плавикс достаточно прием это препарат в течение год или быть смысл принимать он далеко в течение месяц принимать лозап в дозировка мг давление быть нормальный в предел последний два месяц давление становиться расти сейчас на фон прием лозап в доза мг давление с утро иногда и высокий к вечер немного снижаться до что можно сделать","Other"
"очень надеяться на ваш помощь и совету я повышенный холестерин триглицерид холестерин холестерин лпвп холестерин лпнп по фридвальд коэффициент атерогенность я придерживаться диета пропивать омега трин вес мой кг вести здоровый образ жизнь но холестерин весь равный оставаться на один и то же уровень особенно я волновать коэффициент атсти просить вы подсказывать какой лекарственный препарат надо использовать для он снижение читать что статин этот первый шаг к диабет заранее благодарный галина год","C"
"описание возраст год пол муж вес кг месяц назад во время работа появляться аритмия через два  быть госпитализировать проводить курс лечение в январь сделать обследование чрезпищеводный экокардиография заключение тромбоз ушко левый предсердие дилатация аорта полный описание ушко левый предсердие см максимальный скорость смсечь определяться тромб размер мм тромб в полость предсердие не выявлять транссептальный шунтирование кровь не выявлять восходить отдел аорта диаметр мм нисходящий отдел аорта диаметр мм исследование проводиться на фон фибриляция предсердие по результат обследование быть выписывать из больница и назначать прием варфарин чтобы тромб растворяться и впоследствии можно быть восстанавливать ритм сердце сделать повторный обследование тромб оставаться без изменение назначать продолжать принимать варфарин вопрос что еще мочь порекомендовать сделать чтобы успешно растворять тромб мочь другой препарат или оперативный вмешательство","Other"
"у мой муж работа сам по себя спокойныйно ответственныйработать с аппаратура который сильный облучатьвозраст годвес кгбыть увеличение щитовидный железапри снятие экг показывать небольшой перебой в сердце в давать время высота станция мвлажность очень низкий","C"
"мужчина г без вредный привычка масса тело не повышатьподвижный образ жизнь при сад дада не мало при ад быть носовой кровотечение мкб несколько год назад выходить камень сейчас чистый щитовидный железо и ттг в норма уздс бца без атеросклеротический изменение липидный спектр в норма назначать вальсокор мг сад снижаться дада нет подсказывать  какой дальнейший действие по обследование и лечение спасибо","C"
"кардиология повышение давление посол стентирование доктор мой бабушка год перенести инфаркт в сентябрь г затем через месяц стентирование давление посол инфаркт очень часто почти около год быть низкий гипотензивный препарат не принимать через год начинаться подъем давление ночь до сделать повторный коронарография рестеноз нет весь в порядок назначать конкор утро мг престариум вечер мг но она уменьшать доза престариум до мг потому что перед сон давление очень часто пониженый а ночь последний два  подниматься до и до плюс кровь из нос что мы делать принимать на ночь престариум или нет если низкий давление мочь ли этот препарать уменьшать такой скачок в кардиоцентр мы сказал что посол стентирование подъем не должно быть","C"
