"SalePrice","OverallCond","LotArea","YearBuilt","CentralAir","GarageFinish","GarageCars"
208500,5,8450,"New","Y","Y",2
181500,8,9600,"New","Y","Y",2
223500,5,11250,"New","Y","Y",2
140000,5,9550,"Old","Y","Y",3
250000,5,14260,"New","Y","Y",3
143000,5,14115,"New","Y","Y",2
307000,5,10084,"New","Y","Y",2
200000,6,10382,"New","Y","Y",2
129900,5,6120,"Old","Y","Y",2
118000,6,7420,"Old","Y","Y",1
129500,5,11200,"Old","Y","Y",1
345000,5,11924,"New","Y","Y",3
144000,6,12968,"Old","Y","Y",1
279500,5,10652,"New","Y","Y",3
157000,5,10920,"Old","Y","Y",1
132000,8,6120,"Old","Y","Y",2
149000,7,11241,"Old","Y","Y",2
90000,5,10791,"Old","Y","Y",2
159000,5,13695,"New","Y","Y",2
139000,6,7560,"Old","Y","Y",1
325300,5,14215,"New","Y","Y",3
139400,7,7449,"Old","Y","Y",1
230000,5,9742,"New","Y","Y",2
129900,7,4224,"New","Y","Y",2
154000,8,8246,"Old","Y","Y",1
256300,5,14230,"New","Y","Y",3
134800,7,7200,"Old","Y","Y",2
306000,5,11478,"New","Y","Y",3
207500,6,16321,"Old","Y","Y",1
68500,6,6324,"Old","N","Y",1
40000,4,8500,"Old","N","Y",1
149350,6,8544,"Old","Y","Y",1
179900,5,11049,"New","Y","Y",2
165500,5,10552,"Old","Y","Y",2
277500,5,7313,"New","Y","Y",2
309000,5,13418,"New","Y","Y",3
145000,5,10859,"New","Y","Y",2
153000,6,8532,"Old","Y","Y",2
109000,7,7922,"Old","Y","Y",1
82000,5,6040,"Old","N","N",0
160000,5,8658,"Old","Y","Y",2
170000,6,16905,"Old","Y","Y",1
144000,7,9180,"New","Y","Y",2
130250,6,9200,"New","Y","Y",1
141000,6,7945,"Old","Y","Y",1
319900,5,7658,"New","Y","Y",2
239686,5,12822,"New","Y","Y",2
249700,5,11096,"New","Y","Y",3
113000,5,4456,"Old","Y","N",0
127000,7,7742,"Old","Y","Y",1
177000,6,13869,"New","Y","Y",2
114500,6,6240,"Old","Y","Y",2
110000,5,8472,"Old","N","Y",2
385000,5,50271,"New","Y","Y",3
130000,5,7134,"Old","Y","Y",2
180500,5,10175,"Old","Y","Y",2
172500,5,2645,"New","Y","Y",2
196500,5,11645,"New","Y","Y",2
438780,5,13682,"New","Y","Y",3
124900,7,7200,"New","Y","Y",1
158000,5,13072,"New","Y","Y",2
101000,7,7200,"Old","N","Y",1
202500,5,6442,"New","Y","Y",2
140000,6,10300,"Old","Y","Y",2
219500,5,9375,"New","Y","Y",2
317000,5,9591,"New","Y","Y",3
180000,5,19900,"Old","Y","Y",2
226000,5,10665,"New","Y","Y",2
80000,6,4608,"Old","Y","Y",1
225000,4,15593,"Old","Y","Y",2
244000,6,13651,"New","Y","Y",2
129500,6,7599,"New","Y","Y",2
185000,5,10141,"New","Y","Y",2
144900,7,10200,"Old","Y","Y",2
107400,6,5790,"Old","N","Y",1
91000,5,1596,"New","Y","Y",1
135750,7,8475,"Old","Y","Y",1
127000,5,8635,"Old","Y","Y",1
136500,5,10778,"Old","N","N",0
110000,6,10440,"Old","Y","Y",2
193500,6,13000,"Old","Y","Y",1
153500,5,4500,"New","Y","Y",2
245000,5,10206,"New","Y","Y",3
126500,5,8892,"Old","Y","Y",2
168500,5,8530,"New","Y","Y",2
260000,5,16059,"New","Y","Y",2
174000,5,11911,"New","Y","Y",2
164500,5,3951,"New","Y","Y",2
85000,2,8470,"Old","N","N",0
123600,5,8070,"New","Y","N",0
