"OverallCond","LotArea","GarageCars"
5,11900,2
5,14364,2
5,8892,2
8,16560,2
2,5350,0
5,7056,2
7,8475,1
5,8521,1
5,16033,3
6,11777,2
4,21750,2
5,8924,2
3,7804,2
7,9560,1
5,6600,1
8,8414,1
7,26142,1
5,8795,2
8,12354,2
6,8450,1
5,9873,2
5,14572,3
5,10000,2
8,5820,1
5,9503,1
5,7153,2
6,9920,1
5,10041,2
5,12118,2
7,6993,1
6,10437,3
5,8546,2
5,20431,3
5,11160,2
7,9900,1
5,8400,1
5,7875,2
9,10246,1
5,3316,2
5,12085,3
5,14803,3
5,9675,2
7,8520,1
5,9549,2
5,11249,2
7,7244,2
5,10140,2
5,9303,2
4,6600,1
5,10420,2
5,2117,2
5,10475,3
6,9571,1
5,8880,2
5,8877,2
7,8314,1
5,11851,2
7,7200,1
7,9786,2
7,8339,1
5,8049,2
5,8990,2
6,9600,1
5,6762,2
5,7313,2
5,16059,2
5,7851,2
7,7200,2
6,8176,1
5,28698,2
5,6240,2
6,7064,2
7,9600,2
5,14963,2
8,1680,1
5,3363,2
5,7406,2
5,6292,1
6,6270,3
6,9600,1
5,10665,2
5,63887,2
7,7500,1
5,16158,2
7,3600,1
6,11952,2
5,26178,2
5,7446,0
9,6600,1
7,11029,2
5,17600,2
5,9060,1
5,6402,1
6,10335,2
8,6897,1
6,7420,1
7,9156,2
5,11200,1
7,9738,1
5,16381,2
7,8892,2
5,10012,2
5,8012,2
8,4060,0
5,8121,2
5,8480,1
8,5310,1
8,6780,0
7,15576,1
5,9819,2
5,13072,2
5,8777,2
5,11000,3
5,15426,2
5,19296,2
5,14977,3
7,10106,0
5,9950,3
9,9000,2
9,7472,2
5,13474,3
5,11885,2
7,9764,2
6,5400,1
8,2500,1
8,3950,1
6,14762,2
9,9042,1
5,16259,3
4,12900,2
5,11075,2
5,10791,2
5,4435,2
5,1680,1
5,4435,2
5,8846,2
5,36500,2
7,4712,1
5,11664,1
5,12493,1
7,9453,2
5,5250,0
5,6435,1
5,3842,2
5,9430,3
5,14191,2
6,15498,2
6,53227,2
7,12615,2
5,9375,2
5,15750,1
4,7015,1
5,11248,3
6,1491,0
5,14303,2
5,10400,2
5,9000,0
7,13728,2
6,6000,1
7,12384,2
7,11988,1
7,46589,3
5,10846,2
6,10625,2
9,7630,2
8,5436,1
5,10182,2
7,7200,1
5,10652,3
5,9262,3
3,8400,2
5,12640,2
